word,zipf
alright,5.201
promise,5.198
taken,5.195
safe,5.191
book,5.191
sent,5.191
white,5.186
hour,5.186
anybody,5.185
small,5.184
perfect,5.184
lives,5.178
special,5.177
parents,5.176
john,5.175
himself,5.174
perhaps,5.172
sounds,5.172
serious,5.17
sick,5.17
company,5.168
scared,5.167
uncle,5.167
poor,5.165
past,5.161
earth,5.161
possible,5.159
shoot,5.159
touch,5.159
sound,5.156
laughs,5.155
cannot,5.151
asking,5.147
glad,5.146
control,5.146
human,5.145
drive,5.144
hair,5.142
jack,5.141
bitch,5.139
luck,5.139
murder,5.139
happens,5.138
daddy,5.134
finally,5.133
chuckles,5.132
fast,5.13
cold,5.13
seem,5.128
laughing,5.127
words,5.126
hospital,5.125
street,5.125
hang,5.124
dance,5.122
meeting,5.122
till,5.121
others,5.119
catch,5.119
follow,5.119
sense,5.118
evening,5.113
master,5.112
known,5.112
dream,5.112
write,5.111
million,5.109
voice,5.107
sweet,5.107
rather,5.107
felt,5.106
sign,5.1
lucky,5.099
jesus,5.094
longer,5.093
calling,5.092
worked,5.092
quiet,5.091
looked,5.09
less,5.088
pull,5.088
beat,5.087
careful,5.086
coffee,5.086
return,5.085
secret,5.084
weeks,5.083
weren,5.08
date,5.08
seeing,5.079
fall,5.077
given,5.077
fault,5.075
straight,5.075
takes,5.073
song,5.073
future,5.073
loved,5.069
changed,5.069
road,5.067
calm,5.067
turned,5.065
drop,5.064
ladies,5.063
learn,5.063
step,5.063
early,5.062
explain,5.06
clean,5.059
piece,5.059
throw,5.056
picture,5.055
land,5.055
feet,5.054
wonder,5.052
speaking,5.052
worth,5.051
darling,5.049
dude,5.049
giving,5.048
quick,5.045
moving,5.043
figure,5.043
state,5.041
strong,5.04
none,5.039
amazing,5.038
ones,5.034
works,5.033
needed,5.031
weird,5.028
worried,5.026
report,5.025
goodbye,5.023
missing,5.022
choice,5.021
chief,5.02
wedding,5.02
strange,5.02
general,5.019
pain,5.019
kidding,5.019
decided,5.019
pass,5.018
tired,5.018
class,5.017
officer,5.015
kept,5.014
wake,5.013
worse,5.012
busy,5.012
mistake,5.009
kiss,5.008
court,5.006
building,5.006
finish,5.005
during,5.005
ship,5.004
caught,5.003
marry,5.003
meant,5.003
sell,5.002
dark,5.002
